Year,Stage,Match,Team,Skip,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2017,Round robin,Draw 3,MAN,Englot,0,0,0,3,0,1,0,3,0,1,,8,10,W,3
2017,Round robin,Draw 3,SSK,Barker,0,0,2,0,1,0,1,0,1,0,,5,10,L,-3
2017,Round robin,Draw 3,NON,McCarville,1,0,0,2,1,1,0,3,1,,,9,9,W,5
2017,Round robin,Draw 3,QUE,Belisle,0,2,1,0,0,0,1,0,0,,,4,9,L,-5
2017,Round robin,Draw 3,BC,Mallett,0,0,3,0,0,0,0,0,,,,3,8,L,-6
2017,Round robin,Draw 3,ONT,Homan,0,2,0,2,2,0,2,1,,,,9,8,W,6
2017,Round robin,Draw 4,PEI,MacPhee,1,0,0,1,0,0,1,0,0,,,3,9,L,-5
2017,Round robin,Draw 4,ONT,Homan,0,1,2,0,1,1,0,2,1,,,8,9,W,5
2017,Round robin,Draw 4,BC,Mallett,1,0,1,0,0,2,1,0,,,,5,8,L,-5
2017,Round robin,Draw 4,NL,Curtis,0,2,0,5,1,0,0,2,,,,10,8,W,5
2017,Round robin,Draw 4,MAN,Englot,0,1,0,1,1,0,2,0,0,4,,9,10,W,5
2017,Round robin,Draw 4,NWT,Galusha,0,0,1,0,0,1,0,1,1,0,,4,10,L,-5
2017,Round robin,Draw 4,ALTA,Kleibrink,0,1,0,2,1,0,0,1,,,,5,8,L,-4
2017,Round robin,Draw 4,QUE,Belisle,2,0,2,0,0,0,5,0,,,,9,8,W,4
2017,Round robin,Draw 5,ALTA,Kleibrink,0,1,0,0,2,0,1,1,0,,,5,9,W,2
2017,Round robin,Draw 5,NL,Curtis,0,0,1,0,0,1,0,0,1,,,3,9,L,-2
2017,Round robin,Draw 5,NS,Mattattall,0,1,0,1,0,1,0,2,1,0,,6,10,L,-2
2017,Round robin,Draw 5,NWT,Galusha,2,0,1,0,2,0,1,0,0,2,,8,10,W,2
2017,Round robin,Draw 5,CAN,Carey,0,0,2,0,1,0,1,0,3,0,1,8,11,W,1
2017,Round robin,Draw 5,PEI,MacPhee,1,1,0,0,0,1,0,1,0,3,0,7,11,L,-1
2017,Round robin,Draw 5,NON,McCarville,0,2,0,1,1,2,1,0,1,,,8,9,W,5
2017,Round robin,Draw 5,SSK,Barker,0,0,1,0,0,0,0,2,0,,,3,9,L,-5
2017,Round robin,Draw 6,BC,Mallett,0,0,2,4,0,0,1,0,2,0,,9,10,L,-3
2017,Round robin,Draw 6,NWT,Galusha,1,1,0,0,3,3,0,1,0,3,,12,10,W,3
2017,Round robin,Draw 6,QUE,Belisle,0,2,3,0,0,0,2,0,0,1,,8,10,W,1
2017,Round robin,Draw 6,PEI,MacPhee,1,0,0,2,1,0,0,3,0,0,,7,10,L,-1
2017,Round robin,Draw 6,ONT,Homan,0,0,2,0,1,1,1,1,0,,,6,9,W,2
2017,Round robin,Draw 6,ALTA,Kleibrink,0,1,0,2,0,0,0,0,1,,,4,9,L,-2
2017,Round robin,Draw 6,NL,Curtis,0,0,1,1,3,0,0,0,0,0,,5,10,L,-5
2017,Round robin,Draw 6,MAN,Englot,1,2,0,0,0,2,1,1,1,2,,10,10,W,5
2017,Round robin,Draw 7,NON,McCarville,1,0,2,0,3,0,0,0,1,0,,7,10,L,-1
2017,Round robin,Draw 7,MAN,Englot,0,1,0,1,0,2,1,1,0,2,,8,10,W,1
2017,Round robin,Draw 7,CAN,Carey,1,0,0,2,0,0,1,1,1,,,6,9,W,4
2017,Round robin,Draw 7,BC,Mallett,0,0,2,0,0,0,0,0,0,,,2,9,L,-4
2017,Round robin,Draw 7,QUE,Belisle,3,0,1,0,0,1,1,0,0,1,,7,10,W,2
2017,Round robin,Draw 7,SSK,Barker,0,1,0,1,1,0,0,1,1,0,,5,10,L,-2
2017,Round robin,Draw 7,ONT,Homan,2,0,0,0,2,1,0,4,,,,9,8,W,6
2017,Round robin,Draw 7,NS,Mattattall,0,1,0,1,0,0,1,0,,,,3,8,L,-6
2017,Round robin,Draw 8,NS,Mattattall,0,0,0,0,3,0,0,0,1,,,4,9,L,-5
2017,Round robin,Draw 8,PEI,MacPhee,0,0,1,3,0,2,1,2,0,,,9,9,W,5
2017,Round robin,Draw 8,NL,Curtis,0,0,0,0,0,0,2,0,1,,,3,9,L,-3
2017,Round robin,Draw 8,NON,McCarville,0,0,1,1,1,1,0,2,0,,,6,9,W,3
2017,Round robin,Draw 8,NWT,Galusha,0,0,1,0,1,0,2,0,0,,,4,9,L,-3
2017,Round robin,Draw 8,CAN,Carey,1,0,0,2,0,1,0,2,1,,,7,9,W,3
2017,Round robin,Draw 8,SSK,Barker,0,0,2,1,0,3,0,1,0,0,0,7,11,L,-3
2017,Round robin,Draw 8,ALTA,Kleibrink,0,1,0,0,2,0,2,0,1,1,3,10,11,W,3
2017,Round robin,Draw 9,NL,Curtis,2,0,0,0,1,0,1,0,0,,,4,9,L,-3
2017,Round robin,Draw 9,QUE,Belisle,0,1,1,0,0,2,0,2,1,,,7,9,W,3
2017,Round robin,Draw 9,NWT,Galusha,0,0,2,1,0,0,1,0,0,,,4,9,L,-3
2017,Round robin,Draw 9,ONT,Homan,1,0,0,0,2,2,0,1,1,,,7,9,W,3
2017,Round robin,Draw 9,ALTA,Kleibrink,0,0,2,1,0,1,0,1,0,0,,5,10,L,-4
2017,Round robin,Draw 9,MAN,Englot,0,1,0,0,3,0,1,0,2,2,,9,10,W,4
2017,Round robin,Draw 9,PEI,MacPhee,3,0,0,1,0,0,2,1,0,1,,8,10,W,1
2017,Round robin,Draw 9,BC,Mallett,0,2,2,0,1,1,0,0,1,0,,7,10,L,-1
