Year,Stage,Match,Sheet,Team,Skip,LRFE,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2017,Round robin,Draw 10,D,Manitoba,McEwen,0,0,1,0,0,2,1,0,0,1,,,5,9,L,-2
2017,Round robin,Draw 11,A,Quebec,Ménard,1,1,0,0,1,0,3,0,0,3,,,8,9,W,3
2017,Round robin,Draw 11,A,Alberta,Bottcher,0,0,0,1,0,2,0,2,0,0,,,5,9,L,-3
2017,Round robin,Draw 11,B,Northwest Territories,J.Koe,0,0,0,0,0,0,1,0,0,,,,1,8,L,-8
2017,Round robin,Draw 11,B,British Columbia,Morris,1,2,0,1,3,1,0,1,1,,,,9,8,W,8
2017,Round robin,Draw 11,C,Nova Scotia,Murphy,0,0,0,0,3,1,0,1,0,2,0,,7,10,L,-1
2017,Round robin,Draw 11,C,Saskatchewan,Casey,1,0,1,3,0,0,2,0,1,0,1,,8,10,W,1
2017,Round robin,Draw 11,D,Northern Ontario,Jacobs,0,0,0,2,1,1,0,0,1,0,1,,6,10,W,1
2017,Round robin,Draw 11,D,New Brunswick,Kennedy,1,1,0,0,0,0,2,1,0,1,0,,5,10,L,-1
2017,Round robin,Draw 12,A,Northern Ontario,Jacobs,1,2,0,0,1,0,0,1,0,1,0,,5,10,L,-1
2017,Round robin,Draw 12,A,Manitoba,McEwen,0,0,1,0,0,0,1,0,2,0,2,,6,10,W,1
2017,Round robin,Draw 12,B,Alberta,Bottcher,0,0,0,0,0,0,1,0,0,2,,,3,9,L,-3
2017,Round robin,Draw 12,B,Ontario,Howard,1,0,0,1,1,1,0,2,1,0,,,6,9,W,3
2017,Round robin,Draw 12,C,British Columbia,Morris,0,0,1,0,0,0,0,0,1,0,2,0,4,11,L,-1
2017,Round robin,Draw 12,C,Newfoundland and Labrador,Gushue,1,1,0,0,2,0,0,0,0,1,0,1,5,11,W,1
2017,Round robin,Draw 12,D,Canada,K.Koe,1,2,0,1,0,2,1,0,2,0,0,,8,10,W,1
2017,Round robin,Draw 12,D,Saskatchewan,Casey,0,0,1,0,1,0,0,2,0,2,1,,7,10,L,-1
2017,Round robin,Draw 13,A,Northwest Territories,J.Koe,0,0,2,0,1,0,0,0,2,1,0,,6,10,L,-2
2017,Round robin,Draw 13,A,Canada,K.Koe,1,3,0,2,0,2,0,0,0,0,1,,8,10,W,2
2017,Round robin,Draw 13,B,Nova Scotia,Murphy,0,0,1,0,1,1,0,0,0,0,,,3,9,L,-6
2017,Round robin,Draw 13,B,Manitoba,McEwen,1,1,0,2,0,0,0,2,1,3,,,9,9,W,6
2017,Round robin,Draw 13,C,Ontario,Howard,1,1,0,2,0,3,0,0,0,2,0,,8,10,W,2
2017,Round robin,Draw 13,C,New Brunswick,Kennedy,0,0,2,0,1,0,1,0,1,0,1,,6,10,L,-2
2017,Round robin,Draw 13,D,Newfoundland and Labrador,Gushue,0,0,1,0,3,0,0,1,0,2,,,7,9,W,4
2017,Round robin,Draw 13,D,Quebec,Ménard,1,1,0,1,0,1,0,0,0,0,,,3,9,L,-4
2017,Round robin,Draw 14,A,New Brunswick,Kennedy,1,2,1,0,2,0,0,1,0,1,,,7,9,L,-2
2017,Round robin,Draw 14,A,Nova Scotia,Murphy,0,0,0,1,0,4,2,0,2,0,,,9,9,W,2
2017,Round robin,Draw 14,B,Saskatchewan,Casey,1,1,0,1,0,1,0,2,0,0,,,5,9,L,-3
2017,Round robin,Draw 14,B,Northern Ontario,Jacobs,0,0,2,0,1,0,2,0,2,1,,,8,9,W,3
2017,Round robin,Draw 14,C,Northwest Territories,J.Koe,0,0,1,1,0,1,0,2,0,1,0,,6,10,L,-2
2017,Round robin,Draw 14,C,Quebec,Ménard,1,2,0,0,2,0,2,0,1,0,1,,8,10,W,2
2017,Round robin,Draw 14,D,Alberta,Bottcher,0,0,0,0,1,0,1,0,0,0,,,2,9,L,-3
